id,count
0,93.275
1,250.2
2,102.11
4,31.925
5,137.22899999999998
10,122.36
11,248.805
12,379.79
15,45.18
17,195.915
18,295.44
23,247.25
25,145.685
26,45.175
31,190.03
39,128.445
40,29.51
41,212.94
42,390.55
43,129.53
51,178.685
52,99.435
54,17.57
60,130.96
61,158.7
62,99.3175
63,24.095
65,88.36
66,124.6725
68,187.35
71,101.36
80,31.6
82,69.49
94,146.59
98,241.185
101,38.875
102,157.7
107,186.16
112,250.305
113,101.41
115,57.595
116,110.345
120,169.74
121,46.85
122,320.015
132,208.595
143,102.89
147,57.94
150,15.4
151,93.49
152,204.745
153,97.0
155,182.915
156,150.04
159,155.215
161,119.845
163,44.02
177,149.625
186,19.255
188,17.575
190,106.18
191,88.175
192,275.75
195,306.77
200,139.565
209,315.45
210,16.77
211,219.2
214,230.5533333333333
215,26.54
218,105.295
219,30.7
222,173.82
225,16.89
228,316.485
236,170.97
241,39.155
242,231.14
243,156.615
245,16.365
247,249.475
251,169.76
252,79.415
253,86.32
254,93.485
258,307.275
260,50.66
261,150.14
265,85.625
266,280.215
267,328.69
269,174.4
270,62.2
275,97.26
278,44.745
279,94.785
286,105.88
287,27.66
288,241.82
289,135.01583333333335
293,19.6
294,175.8
297,44.64
302,128.7925
303,94.75
304,112.17
307,101.2425
309,16.7425
311,164.665
312,153.6
314,197.71
315,179.36
319,135.87583333333333
322,109.255
323,55.305
325,152.795
327,240.475
330,46.27
332,170.76
333,16.555
338,102.33
341,102.96
345,214.61
348,124.955
349,44.765
350,124.43
352,55.035
355,20.61
356,178.805
358,61.135
363,153.235
369,121.95
371,18.565
372,145.855
375,297.375
380,144.04
388,31.58
391,140.2
392,277.295
393,376.9
394,226.815
396,27.835
401,37.655
407,91.76
409,97.63
410,126.5475
416,123.865
418,126.415
420,147.32
421,214.56
422,136.59
424,293.73
428,380.27
429,235.44
431,223.455
435,21.21
439,103.29
441,20.3
447,84.815
449,217.39
451,181.795
452,16.065
454,208.46
458,231.355
463,147.3
467,15.525
470,279.575
471,143.43
474,283.43
478,13.81
483,126.45
484,178.105
485,97.0
486,143.935
491,100.2325
494,88.73
495,253.675
497,224.72
499,230.48
515,139.8
518,202.985
521,217.885
525,158.2
529,251.32
532,146.6
534,87.42
540,79.98
544,316.795
547,145.83
549,32.085
563,44.97
564,159.815
567,129.3225
572,137.15
577,147.75
578,249.675
585,388.475
588,206.18
589,150.74
590,99.215
592,17.145
594,294.58
596,17.57
598,397.03
599,125.145
605,33.88
606,135.965
607,279.76
608,201.49791666666667
609,53.865
610,291.185
611,221.465
614,190.935
615,202.92
616,240.645
617,151.73
618,255.16
624,127.06
629,154.98
631,86.715
633,93.275
637,27.4
638,102.84
643,71.215
644,134.74
645,43.92
646,212.42166666666668
648,160.125
650,36.7
651,228.5
652,277.205
656,139.12
657,15.295
659,104.395
660,247.6
662,99.14
665,358.1
675,325.105
681,136.72
682,235.185
685,17.697666666666667
686,147.63
689,26.12
696,151.63
703,147.38
704,100.74
705,190.80375
714,243.155
717,109.58
718,13.81
720,60.945
721,222.63
723,222.58
726,224.23
728,153.24
730,235.35
731,27.955
734,350.34
737,94.265
738,15.585
745,247.965
746,27.955
749,240.365
752,26.0
753,183.505
758,228.085
765,18.345
766,225.96
768,93.49
769,182.115
774,179.19
775,88.92
781,68.505
784,336.225
794,15.11
795,281.39
796,83.975
802,221.185
803,229.115
805,44.765
806,284.445
807,97.765
809,15.105
810,199.355
812,229.145
814,126.605
818,248.76
819,145.35
825,62.86
836,127.11
839,163.87
847,271.825
848,227.73
851,149.86
852,130.12
853,33.27
857,184.3
858,45.005
859,243.57
861,30.89
867,105.065
870,249.84
871,195.985
872,217.39
874,376.815
881,129.535
886,132.66
890,57.875
895,142.71
899,86.32
900,278.625
901,243.53
902,202.085
903,45.49
913,244.6
918,172.14
923,188.04684523809522
924,47.955
926,26.83
927,20.785
930,213.635
934,26.985
937,144.23
939,212.27
941,92.5
942,397.18
946,285.595
950,102.235
953,88.41
959,80.36
961,23.86
962,77.975
964,83.225
969,211.76
971,113.4
976,45.755
978,253.81
980,251.33
981,197.21
990,384.855
993,17.25
996,17.005
998,333.6
999,189.955
1006,103.15
1008,18.01
1013,25.39
1015,105.42375
1016,141.335
1022,321.62
1026,213.17
1028,232.975
1031,97.025
1034,50.66
1037,191.78
1040,62.2
1042,16.965
1046,15.295
1048,110.8375
1049,106.685
1050,59.545
1051,183.505
1052,232.955
1055,230.235
1060,128.7
1064,26.0
1066,72.72
1071,106.73
1073,15.46
1089,164.665
1091,135.48
1092,63.48
1093,246.63
1096,332.015
1097,233.6483333333333
1098,18.21
1099,44.94
1102,207.815
1107,105.93
1109,44.845
1111,201.815
1112,112.52
1114,296.665
1116,284.485
1117,148.355
1118,104.455
1122,180.535
1124,137.665
1127,124.165
1133,247.795
1134,45.175
1135,222.12
1139,305.425
1143,68.525
1150,128.17
1151,91.995
1153,286.455
1155,27.63
1162,23.21
1163,183.07
1166,21.16
1171,81.505
1172,16.0075
1173,225.185
1174,94.75
1177,107.915
1178,219.68
1184,225.235
1185,101.1075
1186,127.1
1187,157.135
1188,277.925
1191,138.235
1207,100.09
1213,44.925
1215,143.425
1223,253.265
1227,100.11
1236,69.8
1237,57.44
1238,21.625
1241,25.33
1248,14.08
1250,42.94
1251,134.185
1253,119.985
1255,107.315
1257,253.265
1261,125.185
1262,374.045
1265,181.96
1273,152.4
1277,281.045
1278,141.95
1280,127.33
1284,229.805
1285,332.715
1288,33.88
1295,96.405
1297,395.555
1299,230.53
1304,148.71
1308,44.97
1310,101.31
1311,145.79
1314,101.41
1315,98.96
1318,43.92
1320,330.76
1321,289.945
1322,244.465
1330,119.575
1333,142.335
1334,228.745
1341,175.475
1344,186.36
1351,243.43
1354,101.12
1356,64.92
1363,98.315
1365,204.08
1369,142.795
1373,129.2375
1375,98.4475
1377,86.12
1379,201.845
1380,291.25
1381,97.88
1384,181.725
1390,208.21
1393,238.99
1395,64.22
1399,339.015
1400,101.315
1401,185.57
1404,124.885
1408,15.04
1409,29.785
1413,213.78
1416,273.74
1418,99.8675
1423,105.88
1424,27.63
1425,15.525
1433,184.07
1434,170.14
1436,325.145
1442,258.89
1444,86.32
1445,149.525
1452,153.705
1455,140.265
1462,69.57
1467,91.48
1472,42.05
1475,236.17
1493,119.74
1501,202.32
1503,304.775
1504,228.94
1505,16.42
1511,167.455
1512,60.06
1513,122.77
1514,37.795
1528,188.365
1533,235.315
1534,25.455
1536,147.275
1537,58.8925
1539,257.19
1550,226.415
1552,211.15208333333337
1554,191.335
1555,387.435
1556,96.675
1559,35.865
1563,213.085
1566,185.605
1567,221.27
1568,23.385
1571,232.9933333333333
1572,15.865
1574,59.545
1577,17.57
1583,118.465
1585,32.925
1586,196.995
1587,216.655
1596,139.59
1602,45.49
1604,93.275
1605,44.705
1610,300.825
1611,96.805
1616,33.88
1617,96.505
1618,16.835
1622,35.94
1623,32.845
1628,307.225
1631,14.495
1632,138.4
1633,238.45
1634,329.23
1636,254.18
1637,102.03
1643,163.14
1644,103.29
1646,103.935
1648,185.34976190476186
1651,45.445
1656,18.21483333333333
1658,122.795
1659,17.926666666666666
1665,227.31
1666,152.12
1670,45.12
1674,201.49791666666667
1679,245.605
1680,241.445
1683,325.555
1686,24.205
1691,99.43
1693,39.955
1696,39.585
1697,99.17
1703,103.58
1706,27.63
1709,215.24
1710,86.32
1712,183.715
1713,140.505
1718,396.51
1719,195.39
1722,275.81
1723,118.6
1724,288.61
1728,88.695
1730,27.005
1732,26.695
1737,45.41
1745,84.11
1747,16.665
1748,16.855
1755,130.525
1759,13.81
1761,284.485
1764,235.05
1765,134.425
1766,84.995
1768,103.16
1770,24.19
1771,143.395
1774,91.81
1785,154.135
1788,213.0
1792,13.975
1794,223.515
1797,143.215
1798,13.79
1799,240.58
1802,99.335
1806,44.355
1808,76.055
1810,204.925
1818,194.38
1819,397.045
1820,275.86
1822,241.425
1826,238.795
1827,184.325
1835,18.685
1841,91.535
1842,134.93
1843,14.91
1846,38.23
1849,84.995
1850,176.9
1851,223.04
1857,63.035
1858,199.39601190476188
1860,95.11
1861,235.375
1864,123.965
1869,332.65
1871,69.8
1872,37.98
1875,16.395
1878,225.165
1879,259.045
1885,79.325
1888,80.515
1889,26.055
1890,100.715
1896,183.645
1897,177.915
1898,159.795
1900,87.16
1905,45.12
1908,105.69
1909,100.5575
1913,57.71
1918,125.87
1922,321.405
1923,143.95
1925,281.88
1926,145.61
1927,301.385
1930,190.95
1935,101.41
1939,110.945
1942,91.985
1943,331.08
1948,235.315
1949,283.295
1951,109.72375
1953,91.2
1959,165.885
1963,13.55
1967,132.02
1973,276.86
1975,27.44
1976,90.095
1990,94.57
1993,120.5825
1997,221.275
1999,142.09
2001,292.775
2004,94.825
2010,103.6
2013,143.195
2017,316.125
2021,139.2
2023,218.64
2026,146.235
2037,37.795
2039,234.86
2041,16.85
2046,18.28
2050,15.46
2060,226.08
2067,110.73
2069,138.795
2072,252.99
2074,178.335
2079,120.245
2083,27.23
2085,236.605
2087,19.25
2093,142.245
2094,37.27
2097,45.12
2103,97.845
2104,62.2
2107,208.575
2108,22.53
2110,78.23
2115,247.965
2117,32.6
2125,324.65
2127,218.09
2133,14.19
2134,388.295
2135,131.995
2141,229.18
2143,45.445
2145,88.295
2146,29.48
2147,291.365
2148,69.49
2149,55.06
2165,125.785
2166,189.67
2177,224.23
